#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
ZG|R1114|33.538605|-116.594345|1437.2|Sage Brush Flats Array R1114|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1115|33.538776|-116.594521|1437.9|Sage Brush Flats Array R1115|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1116|33.538982|-116.59478|1444.6|Sage Brush Flats Array R1116|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1117|33.539188|-116.594994|1449.3|Sage Brush Flats Array R1117|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1118|33.539417|-116.59523|1453.7|Sage Brush Flats Array R1118|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1119|33.539619|-116.595467|1457.8|Sage Brush Flats Array R1119|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1120|33.539848|-116.595673|1465.4|Sage Brush Flats Array R1120|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1201|33.535789|-116.591164|1437.2|Sage Brush Flats Array R1201|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1202|33.536011|-116.591393|1435.1|Sage Brush Flats Array R1202|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1203|33.536224|-116.591621|1440.7|Sage Brush Flats Array R1203|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1204|33.536434|-116.591873|1445.8|Sage Brush Flats Array R1204|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1205|33.536644|-116.592102|1444.7|Sage Brush Flats Array R1205|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1206|33.536869|-116.592331|1438.8|Sage Brush Flats Array R1206|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1207|33.537109|-116.592545|1437.9|Sage Brush Flats Array R1207|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1208|33.537289|-116.592812|1435.3|Sage Brush Flats Array R1208|2014-05-08T00:00:00|2014-05-19T23:59:59
ZG|R1209|33.537498|-116.593033|1435.4|Sage Brush Flats Array R1209|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1210|33.53772|-116.593254|1437.2|Sage Brush Flats Array R1210|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1211|33.537926|-116.593483|1437.0|Sage Brush Flats Array R1211|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1212|33.538166|-116.593712|1435.5|Sage Brush Flats Array R1212|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1213|33.538387|-116.593948|1435.5|Sage Brush Flats Array R1213|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1214|33.538612|-116.5942|1436.6|Sage Brush Flats Array R1214|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1215|33.538837|-116.594429|1436.5|Sage Brush Flats Array R1215|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1216|33.539021|-116.594658|1441.1|Sage Brush Flats Array R1216|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1217|33.539268|-116.594902|1445.5|Sage Brush Flats Array R1217|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1218|33.539474|-116.595116|1449.0|Sage Brush Flats Array R1218|2014-05-08T00:00:00|2014-05-28T23:59:59
ZG|R1219|33.539684|-116.595352|1454.7|Sage Brush Flats Array R1219|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1220|33.539906|-116.595566|1461.0|Sage Brush Flats Array R1220|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R1301|33.535847|-116.591072|1434.0|Sage Brush Flats Array R1301|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1302|33.536064|-116.591293|1433.9|Sage Brush Flats Array R1302|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1303|33.536278|-116.591522|1437.5|Sage Brush Flats Array R1303|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1304|33.536484|-116.591759|1441.8|Sage Brush Flats Array R1304|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1305|33.536686|-116.591995|1441.3|Sage Brush Flats Array R1305|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1306|33.53693|-116.592224|1434.9|Sage Brush Flats Array R1306|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1307|33.537148|-116.592461|1434.9|Sage Brush Flats Array R1307|2014-05-08T00:00:00|2014-06-03T23:59:59
ZG|R1308|33.537334|-116.592705|1434.4|Sage Brush Flats Array R1308|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1309|33.537601|-116.592972|1434.0|Sage Brush Flats Array R1309|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1310|33.537781|-116.593163|1436.0|Sage Brush Flats Array R1310|2014-05-08T00:00:00|2014-05-31T23:59:59
ZG|R1311|33.537968|-116.593361|1435.6|Sage Brush Flats Array R1311|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R1312|33.538212|-116.593636|1434.7|Sage Brush Flats Array R1312|2014-05-08T00:00:00|2014-06-01T23:59:59
ZG|R1313|33.538437|-116.593857|1434.7|Sage Brush Flats Array R1313|2014-05-08T00:00:00|2014-05-21T23:59:59
ZG|R1314|33.53867|-116.594086|1436.0|Sage Brush Flats Array R1314|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R1315|33.538864|-116.594322|1436.1|Sage Brush Flats Array R1315|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1316|33.539085|-116.594536|1438.1|Sage Brush Flats Array R1316|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1317|33.53931|-116.594772|1441.6|Sage Brush Flats Array R1317|2014-05-08T00:00:00|2014-06-04T23:59:59
ZG|R1318|33.539532|-116.595001|1445.3|Sage Brush Flats Array R1318|2014-05-08T00:00:00|2014-06-01T23:59:59
ZG|R1319|33.539742|-116.595291|1452.0|Sage Brush Flats Array R1319|2014-05-08T00:00:00|2014-06-05T23:59:59
ZG|R1320|33.539955|-116.595482|1458.4|Sage Brush Flats Array R1320|2014-05-08T00:00:00|2014-06-04T23:59:59
